"No";"SampleRank1";"SampleRank2"
1;4;28
2;16;20
3;17;15
4;19;1
5;15;5
6;13;15
7;7;29
8;3;12
9;15;19
10;15;6
11;4;24
12;17;29
13;20;30
14;4;16
15;27;4
16;23;1
17;6;17
18;24;16
19;20;24
20;28;19
21;29;8
22;30;29
23;26;22
24;4;27
25;18;26
26;2;23
27;26;11
28;11;2
29;21;26
30;23;4
31;25;7
32;27;2
33;5;3
34;25;27
35;12;22
36;3;16
37;17;9
38;10;22
39;22;13
40;25;1
41;11;8
42;18;5
43;7;18
44;20;23
45;2;29
46;6;5
47;2;26
48;7;29
49;1;4
50;4;19
51;11;29
52;9;24
53;11;7
54;5;17
55;2;26
56;9;16
57;8;11
58;1;28
59;23;21
60;6;9
61;27;2
62;9;2
63;20;21
64;27;11
65;8;30
66;4;12
67;24;13
68;3;16
69;1;18
70;30;11
71;12;29
72;15;9
73;9;1
74;10;15
75;21;28
76;12;13
77;11;29
78;8;14
79;10;7
80;17;11
81;3;14
82;4;26
83;3;5
84;6;19
85;14;10
86;22;26
87;3;24
88;15;8
89;14;1
90;6;28
91;20;9
92;12;27
93;23;2
94;25;10
95;10;1
96;14;6
97;30;19
98;5;25
99;28;9
100;24;5
101;25;7
102;14;4
103;4;25
104;17;24
105;17;12
106;14;22
107;16;9
108;2;17
109;22;7
110;8;21
111;19;25
112;6;2
113;7;30
114;2;17
115;9;5
116;23;9
117;2;12
118;15;29
119;9;23
120;26;25
121;27;5
122;14;10
123;10;27
124;11;7
125;20;30
126;25;21
127;2;12
128;22;24
129;23;25
130;14;9
131;11;23
132;28;8
133;6;29
134;15;7
135;9;14
136;7;2
137;19;4
138;13;9
139;3;25
140;17;26
141;30;4
142;14;21
143;29;18
144;13;18
145;21;1
146;3;18
147;13;1
148;18;30
149;9;6
150;13;23
151;21;1
152;20;28
153;2;18
154;9;26
155;15;29
156;9;3
157;18;26
158;17;9
159;2;18
160;15;30
161;13;6
162;8;26
163;8;6
164;11;3
165;11;18
166;14;28
167;16;15
168;12;14
169;24;3
170;25;16
171;9;20
172;28;8
173;13;11
174;21;10
175;13;12
176;29;5
177;29;15
178;27;2
179;9;25
180;27;25
181;13;12
182;12;8
183;23;30
184;26;7
185;24;13
186;28;8
187;22;26
188;3;18
189;26;13
190;26;5
191;16;11
192;8;25
193;9;15
194;3;18
195;30;8
196;8;21
197;19;24
198;29;3
199;17;8
200;22;25
201;5;29
202;19;8
203;27;29
204;29;22
205;14;12
206;8;11
207;18;26
208;25;27
209;21;26
210;8;12
211;2;10
212;5;18
213;14;6
214;21;3
215;5;20
216;19;8
217;1;27
218;26;20
219;19;4
220;23;30
221;18;22
222;19;23
223;21;19
224;15;24
225;30;26
226;24;9
227;5;17
228;4;7
229;9;17
230;1;18
231;9;24
232;27;23
233;14;27
234;9;4
235;1;7
236;11;22
237;29;3
238;15;20
239;15;14
240;23;8
241;12;23
242;23;6
243;4;5
244;20;30
245;16;1
246;13;28
247;27;7
248;8;16
249;5;18
250;4;23
251;29;5
252;27;3
253;24;17
254;26;14
255;21;15
256;20;10
257;23;15
258;6;23
259;18;7
260;11;1
261;30;18
262;3;12
263;25;15
264;8;21
265;25;24
266;2;23
267;12;1
268;1;28
269;23;24
270;26;28
271;10;2
272;13;16
273;10;9
274;23;2
275;28;9
276;25;10
277;30;27
278;23;29
279;7;3
280;26;20
281;29;3
282;29;16
283;1;10
284;20;15
285;12;18
286;7;9
287;8;13
288;7;2
289;8;11
290;28;1
291;15;13
292;12;25
293;17;4
294;28;11
295;2;14
296;19;6
297;23;8
298;4;1
299;27;7
300;12;5
301;5;9
302;14;6
303;11;26
304;5;23
305;27;17
306;18;8
307;23;17
308;30;6
309;9;7
310;10;17
311;29;11
312;19;3
313;14;30
314;20;24
315;23;5
316;28;15
317;15;25
318;4;11
319;13;21
320;30;24
321;8;9
322;29;16
323;24;27
324;29;20
325;8;3
326;2;14
327;17;30
328;13;23
329;14;5
330;18;15
331;23;6
332;25;24
333;4;18
334;24;12
335;23;18
336;15;22
337;22;10
338;21;18
339;24;14
340;2;12
341;23;20
342;13;14
343;16;5
344;8;7
345;15;23
346;29;15
347;4;16
348;8;24
349;4;1
350;15;6
351;26;17
352;16;7
353;8;22
354;1;17
355;28;12
356;3;9
357;26;27
358;14;11
359;16;21
360;21;24
361;30;20
362;7;11
363;11;1
364;22;26
365;23;21
366;24;8
367;11;27
368;13;28
369;30;5
370;21;7
371;5;9
372;23;30
373;5;18
374;30;6
375;18;11
376;27;6
377;10;28
378;23;28
379;11;18
380;27;22
381;14;5
382;21;26
383;15;13
384;7;4
385;11;25
386;22;16
387;15;18
388;25;28
389;10;12
390;29;7
391;21;11
392;24;8
393;15;19
394;19;25
395;11;5
396;21;13
397;26;27
398;25;18
399;2;7
400;3;5
401;21;3
402;15;25
403;26;5
404;12;17
405;19;14
406;8;2
407;22;26
408;17;6
409;10;22
410;24;18
411;21;25
412;25;5
413;11;24
414;7;24
415;3;24
416;12;7
417;14;20
418;6;7
419;28;18
420;26;25
421;10;22
422;19;10
423;29;13
424;22;7
425;5;6
426;16;19
427;29;7
428;29;12
429;6;26
430;12;13
431;4;12
432;28;3
433;19;17
434;29;18
435;13;10
436;2;8
437;23;24
438;4;26
439;15;2
440;2;21
441;13;7
442;12;27
443;12;4
444;26;12
445;19;4
446;28;4
447;10;30
448;24;13
449;19;18
450;6;12
451;6;17
452;28;30
453;21;13
454;22;26
455;10;27
456;24;26
457;2;14
458;15;9
459;15;9
460;10;30
461;30;9
462;16;10
463;28;13
464;26;27
465;3;24
466;7;15
467;1;30
468;3;9
469;9;30
470;10;9
471;10;30
472;2;5
473;23;18
474;11;23
475;1;16
476;18;24
477;10;4
478;19;5
479;27;15
480;2;17
481;15;29
482;4;8
483;29;23
484;25;20
485;17;29
486;25;1
487;19;6
488;17;14
489;10;1
490;7;28
491;15;14
492;16;30
493;6;30
494;11;27
495;3;22
496;24;4
497;30;16
498;28;2
499;1;29
500;3;27
501;10;13
502;22;18
503;14;17
504;6;2
505;7;2
506;16;26
507;5;21
508;7;10
509;6;22
510;4;7
511;22;29
512;24;19
513;12;9
514;9;21
515;25;17
516;2;6
517;15;21
518;4;10
519;13;30
520;9;10
521;19;12
522;27;24
523;6;23
524;1;24
525;3;12
526;28;5
527;14;6
528;8;9
529;13;6
530;13;21
531;27;13
532;19;28
533;7;10
534;19;11
535;2;26
536;24;2
537;24;28
538;20;9
539;2;21
540;28;10
541;2;6
542;7;6
543;22;20
544;21;15
545;15;13
546;25;23
547;25;15
548;12;11
549;28;20
550;5;30
551;8;9
552;4;22
553;22;15
554;15;1
555;11;5
556;29;14
557;17;9
558;30;24
559;18;16
560;14;9
561;20;1
562;15;9
563;30;24
564;1;8
565;9;25
566;29;1
567;15;19
568;24;15
569;23;28
570;10;26
571;8;11
572;6;4
573;28;26
574;4;9
575;17;13
576;26;29
577;15;25
578;4;11
579;28;30
580;5;8
581;29;28
582;8;18
583;15;23
584;12;6
585;1;27
586;2;5
587;25;15
588;3;10
589;12;4
590;24;9
591;28;23
592;27;14
593;13;14
594;20;23
595;30;12
596;19;30
597;11;18
598;14;17
599;22;16
600;22;9
601;15;16
602;24;11
603;2;4
604;23;7
605;11;20
606;30;5
607;6;16
608;21;23
609;17;2
610;17;7
611;14;30
612;12;13
613;29;19
614;2;3
615;24;3
616;16;30
617;22;1
618;16;30
619;6;1
620;13;6
621;29;9
622;18;2
623;21;7
624;16;25
625;7;25
626;1;6
627;4;11
628;17;2
629;22;1
630;28;8
631;25;22
632;4;1
633;21;15
634;11;28
635;6;13
636;17;19
637;10;8
638;26;5
639;19;22
640;23;16
641;13;19
642;1;29
643;8;24
644;14;18
645;14;24
646;21;3
647;8;28
648;26;28
649;21;5
650;1;29
651;9;16
652;27;6
653;23;29
654;2;7
655;26;3
656;5;11
657;6;21
658;7;19
659;15;8
660;14;11
661;19;1
662;24;7
663;18;3
664;1;9
665;21;25
666;28;21
667;24;26
668;7;17
669;4;10
670;19;9
671;14;27
672;30;1
673;20;2
674;13;17
675;23;2
676;10;29
677;23;13
678;5;26
679;22;3
680;22;8
681;18;5
682;5;6
683;24;4
684;12;11
685;15;25
686;3;25
687;11;24
688;27;1
689;12;7
690;4;5
691;29;17
692;21;27
693;4;1
694;19;17
695;7;12
696;10;23
697;7;3
698;21;25
699;9;16
700;10;5
701;29;15
702;27;29
703;25;23
704;29;6
705;9;30
706;21;3
707;6;11
708;4;21
709;1;29
710;7;29
711;14;11
712;17;3
713;22;12
714;22;23
715;20;2
716;3;29
717;25;23
718;29;30
719;19;29
720;29;12
721;23;4
722;30;24
723;12;6
724;11;12
725;26;21
726;14;13
727;10;12
728;14;11
729;30;7
730;14;24
731;4;21
732;2;5
733;9;27
734;23;10
735;14;2
736;2;28
737;20;9
738;23;12
739;10;9
740;22;12
741;20;11
742;14;19
743;27;14
744;3;1
745;11;18
746;25;30
747;17;14
748;6;16
749;20;9
750;24;2
751;11;23
752;9;22
753;28;20
754;26;9
755;30;21
756;21;27
757;8;22
758;9;8
759;24;7
760;26;17
761;17;14
762;16;18
763;22;6
764;3;13
765;16;30
766;24;28
767;21;30
768;7;21
769;14;16
770;21;14
771;28;4
772;3;2
773;25;14
774;20;7
775;17;6
776;5;4
777;6;5
778;21;4
779;12;29
780;6;14
781;15;28
782;5;2
783;22;19
784;1;23
785;19;4
786;30;9
787;1;18
788;19;27
789;3;4
790;5;19
791;11;15
792;18;7
793;27;22
794;12;2
795;19;2
796;9;16
797;1;15
798;10;29
799;25;21
800;14;5
801;8;4
802;18;2
803;7;8
804;22;2
805;17;5
806;17;20
807;26;16
808;22;20
809;3;9
810;21;19
811;15;5
812;22;21
813;29;16
814;30;27
815;7;12
816;29;30
817;9;3
818;14;20
819;14;3
820;23;13
821;24;8
822;15;9
823;6;18
824;23;12
825;12;4
826;7;19
827;18;20
828;28;13
829;19;24
830;22;6
831;14;12
832;2;20
833;29;3
834;10;17
835;5;29
836;17;8
837;8;29
838;26;19
839;12;11
840;5;25
841;5;17
842;10;19
843;8;6
844;22;3
845;3;21
846;24;10
847;18;1
848;3;27
849;9;28
850;8;14
851;21;10
852;18;6
853;25;27
854;6;4
855;2;27
856;7;9
857;22;26
858;19;16
859;24;22
860;23;4
861;14;23
862;13;23
863;19;8
864;4;24
865;22;29
866;5;10
867;19;22
868;20;26
869;13;7
870;28;22
871;17;10
872;3;29
873;27;12
874;1;19
875;18;4
876;25;3
877;17;28
878;11;10
879;10;22
880;14;1
881;4;5
882;11;8
883;7;17
884;17;25
885;28;15
886;24;1
887;25;10
888;4;2
889;12;18
890;4;17
891;4;25
892;23;13
893;19;13
894;1;17
895;12;22
896;12;27
897;22;4
898;13;10
899;2;26
900;7;24
901;18;22
902;29;20
903;25;24
904;4;23
905;6;14
906;8;27
907;1;25
908;26;3
909;18;28
910;23;8
911;3;30
912;14;12
913;28;26
914;3;6
915;22;6
916;4;27
917;23;8
918;20;22
919;6;7
920;17;21
921;28;29
922;24;25
923;8;13
924;22;28
925;25;21
926;23;27
927;4;19
928;29;20
929;14;21
930;13;19
931;3;12
932;25;11
933;8;11
934;19;10
935;10;11
936;4;16
937;29;17
938;25;5
939;13;8
940;11;5
941;1;14
942;15;14
943;13;27
944;10;29
945;13;19
946;12;9
947;5;24
948;26;15
949;19;24
950;25;18
951;21;19
952;20;9
953;28;17
954;4;7
955;13;3
956;2;24
957;5;16
958;16;11
959;18;30
960;1;4
961;2;27
962;4;10
963;17;12
964;13;25
965;13;4
966;9;29
967;4;1
968;23;26
969;1;5
970;17;12
971;5;9
972;18;28
973;22;7
974;10;8
975;6;27
976;29;30
977;14;7
978;26;20
979;15;10
980;15;28
981;19;17
982;9;11
983;9;3
984;11;18
985;26;22
986;6;5
987;29;5
988;12;22
989;22;17
990;17;3
991;11;16
992;19;4
993;29;26
994;6;9
995;4;28
996;11;19
997;30;1
998;10;18
999;12;5
1000;8;23
